Compound,NIST_Link
Acenaphthene,https://webbook.nist.gov/cgi/cbook.cgi?Name=Acenaphthene&Units=SI
"3-Quinolinecarboxylic acid, 7,8-dichloro-1,4-dihydro-4-oxo-",Compound not found
"9,10-DIHYDRO-2-METHYL-ANTHRACENE",Compound not found
6-METHOXY-7-HYDROXYBENZOFURAN,Compound not found
Verapamil,https://webbook.nist.gov/cgi/cbook.cgi?Name=Verapamil&Units=SI
"1,1,1,8,8,8-HEXACHLORO-3,3,6,6-TETRAMETHYLOCTANE",Compound not found
1-(4-Trimethylsilylmethyl-3-cyclohexenyl)-5-methyl-4-hexen-1-ol,Compound not found
"CYCLOHEXANOL, 4-(1,1-DIMETHYLETHYL)-1-(2-PROPENYL)-, CIS-",Compound not found
"9,12-Octadecadienoic acid (Z,Z)-, 2-(acetyloxy)-1-[(acetyloxy)methyl]ethyl ester",Compound not found
"Phosphorodifluoridothioic hydrazide, 2,2-dimethyl-",Compound not found
"Fluoro(methyl)(2,4,6-tri-tert-butylphenyl)silanol",Compound not found
"Naphthalene, 1,2,3,4-tetrahydro-2,3-dimethyl-",Compound not found
"Androst-1-en-3-one, 17-hydroxy-, (5ß,17ß)-",Compound not found
2-Methylsulfanyl-6-(piperidine-1-sulfonyl)-benzothiazole,Compound not found
Thr-Asp,Compound not found
"2-CYCLOHEXENE-1-METHANOL, 2,6,6-TRIMETHYL-a-1-PROPENYL-",Compound not found
"D-ERYTHRO-PENTITOL, 1,5-ANHYDRO-3,4-DIDEOXY-3-[[(4-METHYLPHENYL)SULFONYL]AMINO]-, 2-ACETATE",Compound not found
"Succinic acid, 3-methylbut-2-yl tetrahydrofurfuryl ester","https://webbook.nist.gov/cgi/cbook.cgi?Name=Succinic acid, 3-methylbut-2-yl tetrahydrofurfuryl ester&Units=SI"
"Spiro[androsta-1,4-diene-6,2'-oxirane]-3,17-dione",Compound not found
"[C-15N]-1,3,3-TRINITROAZETIDINE",Compound not found
"Oxalic acid, cyclobutyl pentadecyl ester",Compound not found
"4-Methyl-2-pentanol, TMS derivative","https://webbook.nist.gov/cgi/cbook.cgi?Name=4-Methyl-2-pentanol, TMS derivative&Units=SI"
[1]STAFFANE-3-CARBOXYLIC ACID,Compound not found
4-Phenylbut-3-ene-1-yne,https://webbook.nist.gov/cgi/cbook.cgi?Name=4-Phenylbut-3-ene-1-yne&Units=SI
Leukotriene E4 methyl ester,Compound not found
"1,3-CYCLOPENTANEDIOL, 4-(2-PHENYLETHENYL)-5-(3-PHENYL-2-PROPENYL)-, DIACETATE, [1a,3a,4a(E),5a]-",Compound not found
Metalaxyl,https://webbook.nist.gov/cgi/cbook.cgi?Name=Metalaxyl&Units=SI
"BENZENAMINE, 2-[(PHENYLPHOSPHINO)METHYL]-",Compound not found
4-Amino-N-(4-diethylamino-phenyl)-benzenesulfonamide,Compound not found
N-{2-(2-Chlorophenyl)-2-[(trimethylsilyl)oxy]ethyl}propan-2-amine,Compound not found
"4-Octene, 2,3,6,7-tetramethyl-",Compound not found
Peak 5284,Compound not found
"1,4-Pentadien-3-one, 1,5-bis(2-hydroxyphenyl)-, (1E,4E)-",Compound not found
"BENZENE, 1-METHYL-4-(1,2,2-TRIPHENYLETHYL)-",Compound not found
Oxygen,https://webbook.nist.gov/cgi/cbook.cgi?Name=Oxygen&Units=SI
Dihydromyricetin,Compound not found
"2-(Trifluoromethoxy)thiophenol , S-(tert-butyldimethylsilyl)-",Compound not found
"2-Undecanone, 6,10-dimethyl-","https://webbook.nist.gov/cgi/cbook.cgi?Name=2-Undecanone, 6,10-dimethyl-&Units=SI"
"TRICYCLO[3.3.1.13,7]DECANE, 1-BROMO-",Compound not found
"2-OXAZOLIDINONE, 3-PHENYL-5-[2-(PHENYLAMINO)BENZOYL]-",Compound not found
"1H-INDENE, 2,3-DIHYDRO-1,2-DIMETHYL-","https://webbook.nist.gov/cgi/cbook.cgi?Name=1H-INDENE, 2,3-DIHYDRO-1,2-DIMETHYL-&Units=SI"
Chlorambucil,https://webbook.nist.gov/cgi/cbook.cgi?Name=Chlorambucil&Units=SI
"1,4-BIS(TRIMETHYLSILOXY)-2,5-DIMETHYLBENZENE",Compound not found
"Benzene, (1-hexylheptyl)-","https://webbook.nist.gov/cgi/cbook.cgi?Name=Benzene, (1-hexylheptyl)-&Units=SI"
"3-Buten-2-one, 4-(4-chlorophenyl)-3-methyl-, oxime",Compound not found
"Benzene, 1-[(dimethoxymethyl)-1-ethyl]-4-methoxycarbonyl-1-ethyl-",Compound not found
"3-(Hydroxymethyl)-6,7-dimethylquinolin-2-ol",Compound not found
"5-(2-Chlorophenyl)-3-[5-(trifluoromethyl)pyridin-2-yl]-1,3,4-oxadiazol-2(3H)-one",Compound not found
2-Methyl-3-(3-methyl-but-2-enyl)-2-(4-methyl-pent-3-enyl)-oxetane,Compound not found
L-3-PHENYLSULFINYL-3-ETHYL-2-PENTYLOXIRANE,Compound not found
"4H-Pyrido[3',2':4,5]thieno[3,2-d][1,3]oxazine, 9-(methoxymethyl)-7-methyl-2,4-diphenyl-",Compound not found
5-Acetylamino-6-amino-3-methyluracil,Compound not found
Silane,https://webbook.nist.gov/cgi/cbook.cgi?Name=Silane&Units=SI
"1H-isoindole-1,3(2H)-dione, 2-[4-[2-phenyldiazenyl]phenyl]-",Compound not found
Stearamide,https://webbook.nist.gov/cgi/cbook.cgi?Name=Stearamide&Units=SI
"Dichloroacetic acid, 2,2-dimethylpropyl ester",Compound not found
