Epoch 0 | Training loss: 53851919.2 | Validation loss: 47566814.37037037
Epoch 1 | Training loss: 33880896.666666664 | Validation loss: 16898633.111111112
Epoch 2 | Training loss: 8332118.85 | Validation loss: 4554775.407407408
Epoch 3 | Training loss: 4600730.533333333 | Validation loss: 4485658.648148148
Epoch 4 | Training loss: 4578463.847619047 | Validation loss: 4492477.027777778
Epoch 5 | Training loss: 4583257.519047619 | Validation loss: 4486096.962962963
Epoch 6 | Training loss: 4580202.616666666 | Validation loss: 4485644.5
Epoch 7 | Training loss: 4581869.895238095 | Validation loss: 4483510.777777778
Epoch 8 | Training loss: 4587744.25952381 | Validation loss: 4491061.574074074
Epoch 9 | Training loss: 4580547.819047619 | Validation loss: 4482937.805555556
Epoch 10 | Training loss: 4584414.661904762 | Validation loss: 4485300.759259259
Epoch 11 | Training loss: 4583334.178571428 | Validation loss: 4483400.277777778
Epoch 12 | Training loss: 4581527.816666666 | Validation loss: 4494725.444444444
Epoch 13 | Training loss: 4582836.709523809 | Validation loss: 4483596.018518519
Epoch 14 | Training loss: 4583887.085714285 | Validation loss: 4485257.481481481
Epoch 15 | Training loss: 4581623.347619047 | Validation loss: 4483152.592592592
Epoch 16 | Training loss: 4581882.961904762 | Validation loss: 4495882.944444444
Epoch 17 | Training loss: 4580601.247619048 | Validation loss: 4484225.527777778
