Compound,Spectrabase_Link,InChI,InChIKey,molecular_formula
"3-Quinolinecarboxylic acid, 7,8-dichloro-1,4-dihydro-4-oxo-",https://spectrabase.com/compound/F2TkDN19xxT?f=,"InChI=1S/C12H9Cl2NO3/c1-2-18-12(17)7-5-15-10-6(11(7)16)3-4-8(13)9(10)14/h3-5H,2H2,1H3,(H,15,16)",FAEKTUDLKDVPSY-UHFFFAOYSA-N,C12H9Cl2NO3
"9,10-DIHYDRO-2-METHYL-ANTHRACENE",nan,NaN,NaN,NaN
6-METHOXY-7-HYDROXYBENZOFURAN,https://spectrabase.com/compound/5nB8Hya86wY?f=,"InChI=1S/C10H12O3/c1-12-10-5-7-3-2-4-13-9(7)6-8(10)11/h5-6,11H,2-4H2,1H3",GZZZUNTZVMRCLS-UHFFFAOYSA-N,C10H12O3
"1,1,1,8,8,8-HEXACHLORO-3,3,6,6-TETRAMETHYLOCTANE",https://spectrabase.com/compound/BvzRAsT35lc,"InChI=1S/C12H20Cl6/c1-9(2,7-11(13,14)15)5-6-10(3,4)8-12(16,17)18/h5-8H2,1-4H3",UHNXATNZQQDGKT-UHFFFAOYSA-N,C12H20Cl6
"CYCLOHEXANOL, 4-(1,1-DIMETHYLETHYL)-1-(2-PROPENYL)-, CIS-",nan,NaN,NaN,NaN
"9,12-Octadecadienoic acid (Z,Z)-, 2-(acetyloxy)-1-[(acetyloxy)methyl]ethyl ester",https://spectrabase.com/compound/6iZHwxC9XCs,"InChI=1S/C25H42O6/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-24(20-29-22(2)26)21-30-23(3)27/h8-9,11-12,24H,4-7,10,13-21H2,1-3H3/b9-8-,12-11-",NZTNNIRJXRULJD-MURFETPASA-N,C25H42O6
"Androst-1-en-3-one, 17-hydroxy-, (5ß,17ß)-",nan,NaN,NaN,NaN
"2-CYCLOHEXENE-1-METHANOL, 2,6,6-TRIMETHYL-a-1-PROPENYL-",https://spectrabase.com/compound/DBETf9QIuwB?f=,"InChI=1S/C13H22O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5,7-8,11-12,14H,6,9H2,1-4H3/b7-5-",YNRMZCWYKACRDW-ALCCZGGFSA-N,C13H22O
"D-ERYTHRO-PENTITOL, 1,5-ANHYDRO-3,4-DIDEOXY-3-[[(4-METHYLPHENYL)SULFONYL]AMINO]-, 2-ACETATE",https://spectrabase.com/compound/80SHLP9enXf,"InChI=1S/C14H19NO5S/c1-10-3-5-12(6-4-10)21(17,18)15-13-7-8-19-9-14(13)20-11(2)16/h3-6,13-15H,7-9H2,1-2H3",NMVBYQQRAPRUNC-UHFFFAOYSA-N,C14H19NO5S
"[C-15N]-1,3,3-TRINITROAZETIDINE",https://spectrabase.com/compound/Ipngn6dOm1c?f=,InChI=1S/C3H4N4O6/c8-5(9)3(6(10)11)1-4(2-3)7(12)13/h1-2H2/i5+1,ZCRYIJDAHIGPDQ-HOSYLAQJSA-N,C3H4N315NO6
[1]STAFFANE-3-CARBOXYLIC ACID,nan,NaN,NaN,NaN
